id	Exp1.10min.vs.BL.P1	Exp1.10min.vs.BL.P2	Exp1.10min.vs.BL.P3	Exp1.10min.vs.BL.P4	Exp2.1h.vs.BL.P1	Exp2.1h.vs.BL.P2	Exp2.1hr.vs.BL.P3	Exp2.1hr.vs.BL.P4	Exp3.4h.vs.BL.P1	Exp3.4h.vs.BL.P2	Exp3.4hr.vs.BL.P3	Exp3.4hr.vs.BL.P4
Q9BX97	0.172	-0.052	0.017	0.067	-0.132	-0.024	0.203	-0.017	-0.007	0.069	0.013	0.264
Q96QI5	0.075	1.046	-0.027	0.106	0.271	1.041	0.028	0.234	-0.001	0.194	-0.224	0.039
P48634-3	-0.155	-0.024	0.039	-0.569	0.121	0.018	-0.011	-0.567	0.141	-0.083	-0.021	0.053
P15822	0.111	0.176	0.024	0.11	-0.25	0.149	0.019	0.446	-0.027	-0.307	0.079	0.372
O75923-13	0.084	-0.015	0.014	-0.055	-0.273	-0.183	0.121	-0.045	-0.267	-0.058	-0.09	0.056
P51659	-0.026	0.072	0.071	-0.119	-0.284	-0.2	-0.25	-0.145	-0.063	-0.431	-0.414	-0.209
P31785	0.191	0.025	0.038	NA	0.11	-0.004	0.055	NA	0.052	-0.008	-0.051	NA
P14210	0.297	0.132	0.091	-0.195	-0.317	-0.095	-0.842	-0.308	1.062	0.021	-1.004	-0.128
A6NKZ8	0.138	-0.043	0.004	0.051	0.255	0.026	0.031	-0.02	-0.043	0.038	-0.097	-0.017
Q9H074	0.022	0.044	NA	0.115	-0.087	0.078	NA	0.184	0.253	0.132	NA	0.233
B4DFL8	NA	-0.037	-0.888	-0.513	NA	0.025	-0.845	-0.91	NA	0.079	0.074	-1.285
P22676	0.049	-0.042	0.071	-0.155	0.11	0.06	-0.029	0.001	0.36	0.091	-0.024	0.033
Q96M32	-0.044	-0.044	-0.734	0.418	-0.038	-0.158	-0.591	0.76	-0.04	-0.029	-0.289	0.6
O95715	-0.024	0.08	0.079	-0.198	-0.012	0.127	-0.078	-0.053	-0.158	-0.274	0.054	-0.069
Q92882	-0.673	-0.279	-0.12	0.012	-0.093	-0.376	-0.443	0.506	0.133	-0.153	-0.913	0.424
P47897	-0.164	-0.021	0.002	-0.101	0.013	-0.005	-0.25	-0.097	0.007	-0.006	-0.133	-0.288
Q15349	-0.1	0.203	-0.095	0.041	-0.125	-0.035	-0.162	-0.161	-0.157	0.163	0.187	0.059
Q9Y2D8	-0.074	-0.128	0.021	0.144	-0.091	-0.17	-0.002	0.057	-0.043	-0.351	0.108	-0.118
Q66GS9	0.143	0.136	-0.005	NA	-0.134	0.056	0.088	NA	-0.201	0.018	0.083	NA
Q9ULB4	-0.079	-0.068	0.141	NA	-0.358	0.048	0.066	NA	-0.093	0.059	0.051	NA
Q96BQ1	-0.212	-0.057	-0.338	NA	-0.149	0.113	-0.284	NA	-0.316	0.073	-0.2	NA
Q92830	0.24	0.131	0.029	NA	0.336	0.406	-0.082	NA	0.1	0.125	-0.052	NA
Q8TBY8	0.321	0.082	NA	0.246	0.196	0.043	NA	0.122	-0.064	0.006	NA	-0.178
P09496-2	-0.015	0.181	NA	NA	0.206	0.294	NA	NA	-0.048	0.03	NA	NA
P16885	-0.673	-0.045	-0.155	0.141	0.068	-0.026	-0.117	-0.016	-0.805	0.082	-0.146	0.007
Q5IWS5	-0.352	0.171	0.064	-0.129	-0.319	0.046	0.181	-0.443	-0.094	0.157	0.157	0.104
C9JUT8	-0.471	0.182	0.184	-0.162	0.022	0.11	0.108	-0.155	-0.139	0.097	0.15	-0.11
O14737	-0.249	0.236	-0.243	0.223	0.39	0.149	0.244	0.377	0.391	0.258	0.006	0.237
Q2L6G8	-0.222	-0.049	-0.032	0.058	-0.081	0.057	-0.157	0.255	0.068	0.096	0.073	-0.019
A8K1H6	0.14	0.245	-0.127	-0.327	0.146	0.272	0.039	0.277	0.343	0.321	0.177	0.402
B3FL70	0.946	-0.327	-0.186	-0.354	0.296	-0.088	-1.096	-0.183	0.936	-0.534	-1.128	-0.222
Q6V1P9	-0.146	0.009	0.006	-0.255	1.058	-0.049	-0.039	-0.052	1.147	-0.163	0.021	-0.116
B0YIW2	-0.165	-1.398	-1.577	-1.201	-0.329	-1.457	-1.613	-1.038	0.2	-0.858	-0.373	-0.58
P26842	-0.144	0.1	0.143	-0.035	0.096	0.163	-0.061	0.048	0.103	-0.024	0.049	-0.187
Q5THJ4	0.464	0.085	0.004	0.192	0.101	0.023	-0.193	-0.086	-0.405	-0.041	-0.183	-0.129
P29353-2	-0.305	-0.151	-0.234	0.13	-0.111	-0.183	0.041	-0.318	-0.644	-0.142	-0.048	-0.21
P26006	-0.038	0.246	-0.153	-0.081	0.319	0.168	-0.039	0.158	-0.125	0.03	-0.078	-0.905
P21675-4	-0.271	0.138	-0.077	-0.216	0.218	0.45	0.093	0.203	0.182	0.192	0.252	0.16
A1L3A3	0.043	-0.017	-0.195	NA	-0.108	-0.223	-0.04	NA	0.294	0.033	-0.174	NA
Q9UK61	0.07	0.434	-0.104	NA	-0.18	-0.143	-0.109	NA	0.086	-0.255	0.154	NA
Q14D04	-0.66	-0.376	0.217	-0.081	-0.753	-0.289	1.037	-0.145	-0.729	-0.245	0.32	0.078
P56202	0.151	0.091	0.282	-0.141	0.035	0.074	0.322	0.101	0.337	0.167	0.487	0.145
B0YJ47	0.297	-0.111	-0.008	-0.126	0.073	-0.122	-0.186	-0.051	-0.065	0.214	-0.207	-0.232
Q9P212-2	-0.35	-0.161	0.038	0.44	-0.056	-0.306	0.459	0.407	-0.197	0.063	0.547	0.467
Q9BS35	-0.256	-0.071	0.044	0.136	0.106	0.007	0.056	0.259	0.263	-0.093	-0.116	0.137
Q12965	-0.114	-0.017	-0.128	-0.209	-0.274	-0.012	-0.39	-0.201	-0.373	-0.022	-0.573	-0.23
Q8N386	0.132	0.105	-0.008	-0.047	0.106	0.129	-0.052	0.006	0.167	-0.056	-0.076	-0.121
B5MCY1	0.043	-0.116	0.291	1.444	0.168	-0.263	0.196	0.458	0.391	0.06	0.227	-0.027
Q12768	-0.89	-0.278	0.064	0.201	-0.511	-0.247	0.576	0.193	0.005	-0.382	0.331	0.139
B4DKV2	0.319	-0.046	0.126	-0.378	-0.069	-0.046	0.089	-0.234	-0.096	-0.153	0.025	-0.238
Q5SYB0	-0.129	-0.086	-0.058	-0.076	-0.215	-0.048	0.084	0.093	-0.031	-0.188	0.051	0.022
Q8NFA0	-0.397	0.001	-0.04	-0.133	-0.4	-0.047	-0.072	-0.18	-0.431	-0.353	-0.076	-0.235
Q9NZT2	-0.101	-0.032	-0.188	-0.695	0.274	-0.03	-0.071	0.179	0.181	0.221	-0.055	-0.09
B4E1H6	-0.143	0.054	-0.113	-0.169	-0.092	0.218	0.088	0.071	0.211	0.234	-0.077	0.061
Q9ULL4	0.458	-0.012	-0.307	-0.425	0.635	0.082	-0.31	-0.684	5.012	0.02	-0.256	0.114
Q96JF0	-0.605	-0.013	0.026	0.082	-0.336	-0.2	-0.077	-0.077	-0.092	-0.047	0.035	-0.148
Q9UKG1	0.037	0.034	0.218	-0.114	0.256	0.072	0.381	0.179	0.542	-0.009	-0.011	0.097
O95727	-0.131	-0.044	-0.249	-0.069	-0.062	0.021	-0.198	-0.012	-0.033	0.05	-0.151	-0.078
Q15006	0.076	-0.224	0.29	0.068	-0.12	-0.313	0.179	0.295	0.067	-0.042	0.389	0.095
P27361	0.096	0.166	-0.043	NA	0.246	0.265	0.115	NA	-0.107	0.298	-0.016	NA
P05386	0.058	-0.022	-0.13	NA	0.284	0.018	-0.276	NA	0.671	0.051	-0.348	NA
O14746	-0.083	-0.246	0.188	NA	-0.094	-0.251	0.193	NA	-0.184	-0.153	0.211	NA
Q96FW1-2	0.189	0.089	0.003	0.072	0.092	0.202	-0.076	0.238	0.239	0.198	0.047	-0.008
P55196-1	0.282	0.039	0.065	-0.27	0.156	0.187	-0.055	-0.08	0.457	0.17	-0.075	-0.046
Q9NY84	-0.05	0.098	-0.018	0.05	0.003	0.049	-0.056	-0.013	-0.043	-0.114	-0.048	-0.028
C9JI54	0.053	0.259	-0.211	0.287	0.176	0.105	-0.231	0.201	-0.108	0.222	-0.105	0.187
Q9H2H8	-0.068	0.21	-0.063	-0.139	0.244	0.458	0.056	-0.053	0.149	0.02	0.152	0.011
P18827	0.311	0.295	0.234	0.419	0.248	0.27	0.437	0.254	0.08	0.218	0.39	0.019
Q5JTW2	-0.023	-0.422	0.056	0.143	-0.195	-0.219	0.429	-0.193	0.038	-0.314	0.374	-0.151
O75533	-0.23	-0.117	0.006	0.146	0.241	-0.061	0.07	0.027	0.278	-0.164	0.259	-0.042
Q8NEV8	0.235	-0.438	0.091	-0.176	-0.085	-0.219	-0.029	-0.124	-0.177	-0.086	-0.137	-0.064
P49792	0.034	-0.203	0.033	-0.003	-0.002	-0.159	-0.114	0.026	0.23	-0.251	-0.136	0.005
B0AZT7	0.156	-0.106	-0.119	0.459	0.192	0.104	0.12	0.109	0.434	0.163	0.326	0.173
Q9UL18	0.115	0.034	-0.027	0.059	-0.199	-0.006	-0.073	0.055	-0.08	-0.068	0.068	-0.02
C9JDM3	-0.31	-0.002	-0.049	0.011	-0.392	0.292	-0.102	-0.148	0.031	-0.057	-0.143	-0.1
P98164	-0.088	0.227	-0.066	0.138	-0.135	0.032	-0.352	-0.05	-0.156	-0.474	0.877	0.069
P49441	NA	-0.081	0.142	NA	-0.055	-0.032	0.288	NA	0.465	-0.078	0.073	NA
O95630	-0.185	-0.383	-0.126	-0.024	0.046	-0.215	0.129	0.016	0.472	0.127	0.146	-0.107
P61956	0.212	0.059	0.066	0.03	0.341	0.321	0.111	0.264	0.33	0.048	-0.064	0.182
Q9UHD1	-0.033	0.071	-0.093	0.275	0.154	0.359	-0.003	0.405	0.757	0.138	-0.047	0.328
P35318	0.016	0.084	0.369	-0.067	-0.032	0.242	0.088	0.103	-0.012	0.104	0.563	0.314
Q7Z442	0.025	0.1	0.105	0.027	-0.382	-0.053	0.031	0.008	-0.118	-0.011	-0.156	-0.07
O75473	0	0.047	0.35	0.435	0.017	0.027	0.154	0.312	-0.104	-0.13	-0.244	0.182
Q9H0D6	-0.21	0.008	-0.138	-0.011	0.036	-0.018	-0.08	-0.254	0.03	-0.053	-0.137	0.088
Q5VZ89	-0.144	-0.546	1.035	-0.294	-0.151	-0.176	0.69	-0.05	-0.102	-0.329	0.761	-0.087
B4DFT8	0.173	-0.262	0.241	0.08	-0.032	0.205	0.304	-0.053	0.841	0.249	0.747	0.362
Q96QB7	0.099	0.177	-0.361	0.113	0.22	0.525	0.103	0.129	0.289	0.15	0.104	0.227
P09238	-0.197	-0.183	-0.026	-0.803	-0.822	-0.132	-0.03	-0.629	-0.673	0.077	-0.522	-0.48
Q5T5H1	0.214	-0.093	0.158	0.065	0.11	0.056	0.214	0.164	0.247	0.129	-0.187	0.109
P51991	-0.25	-0.463	0.217	-0.294	-0.255	-0.57	0.349	-0.462	0.489	0.036	0.369	0.114
P23458	0.54	-0.08	0.226	-0.278	0.443	-0.195	0.27	0.25	0.361	-0.153	0.077	0.086
P58062	0.123	0.069	-0.106	-0.071	0.039	-0.034	0.006	-0.031	0.016	-0.045	-0.028	-0.088
A7E2V7	-0.178	-0.21	-0.312	0.323	-0.003	-0.397	0.129	0.587	-0.326	-0.32	0.103	0.291
P35498	0.244	-0.766	0.006	-0.338	0.001	-0.319	-0.286	-0.629	-0.084	-0.11	-0.472	-0.491
Q8IVV2-2	0.394	-0.001	-1.558	-1.318	0.88	-0.253	-0.951	-2.035	0.198	-0.023	0.241	-2.105
Q8IVV2	0.394	-0.001	-3.242	-1.318	0.88	-0.253	-1.972	-2.035	0.198	-0.023	0.466	-2.105
P80370	-0.066	0.044	0.001	0.063	-0.05	0.034	-0.151	0.128	-0.054	-0.005	-0.019	0.031
O15327	0.873	-0.064	-0.19	0.422	-0.344	-0.091	-0.108	0.092	0.017	0.037	0.052	0.171
Q8TF46	-0.246	-0.025	-0.182	-0.27	-0.19	-0.191	0.094	-0.528	-0.156	0.508	-0.305	-0.096
O43293	0.102	-0.073	-0.294	0.021	-0.194	-0.117	-0.142	0.094	-0.082	-0.254	-0.129	0.001
O60469	0.089	0.015	-0.022	-0.081	-0.179	-0.094	0.514	-0.212	-0.118	0.082	0.808	-0.01
Q8N6Q3-3	-0.352	-0.124	0.112	NA	-0.26	-0.021	0.057	NA	-0.225	-0.445	0.113	NA
B0QZ18	-0.198	-0.464	-0.028	NA	-0.672	-0.355	-0.252	NA	-0.264	-0.406	-0.576	NA
Q6GMV3	-0.255	0.022	-0.194	NA	0.341	0.454	0.081	NA	0.336	0.205	-0.135	NA
Q8N1M1	-0.177	-0.086	0.181	NA	-0.028	-0.043	-0.052	NA	-0.124	-0.181	-0.03	NA
Q7KZF4	-0.326	-0.223	0.021	-0.156	-0.224	-0.351	-0.03	-0.069	-0.104	-0.077	0.032	-0.15
Q9WJR5	0.073	-0.282	-0.001	0.124	-0.228	-0.279	-0.215	-0.041	-0.137	-0.028	-0.197	0.148
P61812-2	-0.223	-0.04	0.34	-0.095	0.158	-0.036	0.097	0.024	0.219	0.025	0.452	-0.027
Q96F85	0.264	0.083	0.149	0.221	0.08	0.189	-0.12	0.288	-0.121	-0.092	-0.324	0.032
Q6ZP82-2	0.186	-0.332	0.099	0.017	0.113	-0.411	-0.105	0	-0.014	-0.364	0.085	-0.209
P02008	0.023	0.418	-0.706	-0.121	0.022	0.656	-0.543	-0.155	0.028	0.178	-0.047	-0.295
Q5VU65	0.153	-0.099	-0.473	0.36	-0.145	-0.257	0.014	-0.18	-0.097	-0.003	0.304	0.544
B4DYI2	0.063	0.151	-0.021	-0.717	-0.267	0.159	0.164	-0.85	0.683	-0.075	0.062	-0.387
Q9HC10	0.276	-0.104	0.25	-0.208	-0.052	-0.12	-0.163	0.063	0.104	-0.1	-0.205	-0.15
Q8WWA6	-0.206	-0.061	0.289	-0.191	-0.291	-0.052	0.389	0.037	-0.593	0.011	0.02	-0.24
Q8IX01	-0.002	-0.031	0.069	0.304	0.198	0.066	0.026	0.332	-0.017	-0.166	-0.009	-0.121
Q9NP79	-1.188	0.004	-0.296	0.074	-0.574	-0.083	-0.487	0.161	-0.282	0.014	-0.463	0.274
C9JRV9	-0.202	0.054	0.034	0.05	-0.132	0.104	0.05	0.073	-0.385	0.199	-0.242	0.045
A7MBN3	0.198	-0.533	-0.217	-0.052	0.239	-0.412	0.096	0.164	0.107	-0.119	-0.104	-0.008
Q13496	0.913	1.386	-0.151	0.159	0.212	0.502	0.059	0.313	2.281	0.053	-0.502	0.478
Q14643	0.109	-0.382	NA	-0.415	-0.296	-0.397	NA	-0.168	0.013	0.016	NA	-0.021
Q14676	0.005	-0.06	-0.097	0.155	0.005	-0.006	-0.147	0.243	-0.458	0.027	-0.056	0.146
A4D213	-0.183	-0.058	NA	-0.258	-0.159	-0.114	NA	-0.358	-0.347	-0.336	NA	-0.316
Q6P9F7	0.083	0.087	0.225	0.144	-0.003	-0.419	0.348	0.084	0.187	-0.016	0.564	0.318
Q6FI64	0.051	-0.046	0.099	-0.205	-0.184	-0.051	0.159	-0.185	0.187	0.254	0.175	-0.284
B1AND3	-0.347	-0.404	0	NA	0.001	-0.387	-0.08	NA	-0.124	-0.051	0.01	NA
Q7L1W4	0.064	-0.562	0.242	-0.29	-0.125	-0.345	1.026	0.004	0.037	0.183	0.517	-0.023
Q9H427	-0.837	-0.349	0.692	0.555	-0.956	-0.507	0.072	1.302	-0.142	-0.104	-1.44	0.882
O15042	0.37	-0.279	0.147	-0.307	-0.235	-0.019	-0.148	-0.213	-0.168	0.052	0.161	-0.17
Q9UJ68	0.034	-0.116	NA	NA	0.321	-0.109	NA	NA	0.6	0.029	NA	NA
P67809	0.174	0.599	0.218	NA	0.053	0.419	-0.056	NA	0.145	0.108	-0.176	NA
Q96MM7	0.906	1.295	-0.744	NA	0.301	1.036	-0.622	NA	-0.442	-0.111	-0.569	NA
Q9ULV0	0.186	-0.368	0.136	NA	0.013	-0.31	0.059	NA	-0.195	-0.429	0.019	NA
A6H8Y1	0.097	-0.023	0.245	NA	0.062	-0.075	0.032	NA	-0.117	0.049	-0.048	NA
Q15111	0.101	0.037	NA	0.081	0.063	-0.054	NA	-0.135	-0.189	-0.182	NA	0.248
Q14213	-0.111	-0.034	NA	-0.287	-0.2	-0.162	NA	-0.219	-0.154	-0.015	NA	0.201
Q9BT56	0.084	-0.162	NA	0.271	-0.396	-0.217	NA	-0.083	-0.499	-0.122	NA	-0.184
Q2WGJ9	-1.841	-0.524	NA	-0.218	-0.224	-0.457	NA	-0.356	0.06	0.002	NA	-0.085
Q9BQI6	-0.158	-0.127	NA	-1.677	-0.087	0.154	NA	-0.99	0.257	-0.252	NA	-1.137
Q9BVM4	0.2	0.145	NA	NA	0.262	0.077	NA	NA	0.305	0.206	NA	NA
Q92833	0.342	-0.165	NA	-0.131	-0.207	-0.164	NA	0.057	-0.095	0.068	NA	-0.259
Q9Y2W1	-0.279	-0.115	NA	0.148	-0.387	-0.26	NA	-0.027	0.416	-0.339	NA	-0.062
Q9Y547	-0.05	-0.023	NA	NA	0.281	0.056	NA	NA	-0.118	0.214	NA	NA
Q9BZC7	0.193	-0.219	NA	NA	-0.089	-0.141	NA	NA	-0.14	0.087	NA	NA
Q6MZM0	-0.059	-0.255	NA	NA	-0.031	-0.243	NA	NA	-0.053	-0.213	NA	NA
P10745	-1.171	0.345	NA	NA	0.091	0.401	NA	NA	-0.206	0.177	NA	NA
A8K2Q8	0.418	-0.124	0.173	NA	-0.065	-0.165	0.092	NA	-0.274	-0.213	0.14	NA
Q9P2S2	0.084	0.092	-0.053	-0.579	-0.032	0.119	0.057	-0.173	-0.409	-0.136	0.028	-0.195
P30990	-0.062	-0.185	0.088	-0.409	-0.176	-0.114	-0.093	-0.128	-0.195	-0.149	-0.212	-0.328
Q8IZD9	-0.106	-0.014	-0.114	0.184	-0.335	-0.05	-0.002	-0.018	-0.169	0.137	-0.072	0.129
Q9C0G6	0.14	-0.22	-0.095	0.748	0.539	-0.304	0.583	0.683	0.249	-0.008	0.312	1.794
Q9Y2Y8	0.115	NA	-0.022	0.005	-0.044	NA	-0.069	-0.074	-0.053	NA	0.013	0.102
Q6ZP87	0.133	-1.046	-1.961	-1.896	-0.009	-0.912	-2.282	-2.501	0.147	-0.957	-0.919	-2.508
P16860	0.004	0.213	-0.025	0.315	0.082	0.176	-0.047	0.245	-0.839	0.193	0.003	0.467
Q09428-2	0.245	0.026	-0.034	0.125	0.045	-0.006	0.16	0.115	0.395	0.143	0.028	0.33
P01614	0.083	-0.142	-1.848	NA	-0.176	-0.229	-1.812	NA	0.087	-0.409	-0.69	NA
Q8TBC4	-0.06	-0.039	-0.108	-0.155	0.118	0.06	0.089	-0.738	0.126	0.034	-0.053	-0.086
O95989	0.051	-0.065	0.107	0.352	0.055	0.019	0.079	0.459	-0.027	0.195	0.074	0.438
Q9HBG5	0.153	-0.481	-0.026	-0.284	-0.218	-0.124	0.053	-0.245	-0.093	-0.312	0.117	-0.36
Q9NRY4	1.769	0.082	0.305	0.236	1.563	0.077	-0.036	0.12	1.081	-0.772	0.695	-0.55
Q99523	-0.275	0.228	0.275	NA	-0.355	0.162	0.119	NA	0.006	0.167	0.079	NA
P37173	0.002	0.027	-0.016	-0.06	0.091	0.16	-0.039	0.152	0.142	-0.125	0.009	0.01
Q8NI35-2	-0.037	-0.258	-0.125	0.313	-0.04	-0.118	-0.139	-0.083	-0.065	-0.254	0.136	0.159
Q6ZRZ3	-0.083	0.107	0.018	0.057	0.015	-0.043	0.045	-0.064	0.126	0.036	0.042	-0.029
Q6ZMN2	0.215	-0.055	-0.074	0.009	-0.023	0.002	-0.124	0.026	-0.169	-0.207	0.052	-0.012
C9J4D6	0.436	0.168	-0.054	-0.203	0.423	0.331	0.129	0.166	0.384	0.373	0.107	0.331
Q6UWF7	0.228	-0.174	0.206	0.16	-0.039	-0.039	0.082	0.069	-0.143	-0.334	0.348	0.177
Q8N9Y7	0.361	-0.048	-0.396	-0.557	0.157	-0.298	-0.174	-0.254	0.198	0.219	0.169	-0.108
P01767	-0.104	-0.12	-0.792	-0.623	-0.064	-0.191	-0.998	-0.826	-0.098	-0.163	-0.321	-0.666
P04208	0.01	-0.065	-1.152	-0.794	-0.079	-0.222	-0.645	-1.137	-0.178	0.183	-0.13	-0.609
P11117	-0.028	NA	0.015	0.025	0.075	NA	0.022	0.024	-0.055	NA	-0.007	-0.105
Q8IWA6	0.402	-0.533	-0.004	-0.347	-0.212	-0.241	-0.075	-0.275	-0.064	0.154	-0.044	-0.328
C9JTR3	0.106	-0.647	-0.236	-0.671	-0.189	-0.29	-0.055	-0.796	-0.139	-0.672	-0.044	-1.05
Q96T23	0.374	-0.242	0.237	-0.15	-0.187	-0.183	-0.104	0.012	-0.105	-0.069	0.085	0.166
Q86TD4	-0.067	0.085	-0.018	-0.194	-0.141	0.081	-0.16	-0.217	-0.118	0.109	-0.038	-0.433
Q6P2Q9	0.827	-0.111	-0.104	NA	2.261	-0.095	0.121	NA	1.884	-0.095	-0.143	NA
Q9UHP9	0.119	0.451	0.052	0.616	0.509	0.514	0.77	0.275	0.702	0.494	0.421	0.92
Q96N67-2	0.105	-0.309	-0.945	-0.677	-0.235	-0.313	-0.547	-0.193	-0.724	-0.263	0.022	-0.274
P01703	0.13	-0.205	-0.681	0.181	0.198	-0.238	-0.135	-0.155	0.544	0.04	-0.043	0.21
Q7Z442-7	0.025	0.105	0.133	-0.089	-0.382	0.009	0.025	-0.143	-0.118	-0.089	0.008	-0.167
P53778	-0.236	-0.084	0.068	-0.279	-0.222	-0.268	-0.196	-0.225	-0.269	-0.068	0.027	0.034
Q13188	0.118	-0.136	-0.014	0.025	-0.053	-0.085	0.035	-0.072	-0.194	-0.178	-0.181	-0.172
Q9NQ89	0.014	-0.111	-0.099	-0.201	1.015	-0.138	-0.12	0.06	0.925	-0.051	-0.283	-0.077
P17098	-0.067	0.019	-0.195	0.125	-0.156	0.072	-0.596	-0.668	-0.167	-0.037	-0.351	-0.075
Q9H2Y7	0.176	0.096	-0.038	0.015	-0.197	-0.114	-0.014	-0.182	-0.378	-0.453	-0.08	0.053
Q96B58	0.124	0.016	0.07	-0.047	-0.014	-0.102	0.021	0.251	0.051	-0.145	-0.332	0.019
Q9H223	-0.894	-0.253	0.509	NA	-0.517	-0.271	0.219	NA	0.267	0.281	-0.314	NA
Q92752	-0.172	-0.08	-0.142	NA	-0.272	-0.043	-0.144	NA	-0.077	-0.038	0.162	NA
Q6AZ88	0.1	0.017	-0.031	NA	0.1	0.014	-0.085	NA	-0.07	-0.069	-0.126	NA
P13674	-1.641	0.003	0.045	NA	-0.388	-0.435	0.022	NA	0.126	-0.24	0.154	NA
Q3T906	-0.549	-0.34	-0.037	NA	-0.357	-0.284	-0.245	NA	-0.257	-0.145	0.049	NA
Q6ZMT4	-0.419	0.088	-0.122	NA	-0.115	0.427	0.162	NA	-0.087	0.223	0.286	NA
O60524	-0.134	0.099	0.014	NA	-0.217	-0.02	0.075	NA	-0.329	-0.032	-0.245	NA
Q6NZ44	0.006	-0.175	-0.077	-0.075	0.018	-0.137	-0.222	0.026	0.239	-0.167	-0.007	0.125
Q6FH57	-0.107	0.269	0.154	0.24	0.37	0.336	0.366	0.387	0.348	-0.034	0.142	0.359
Q7Z3U7	-0.179	-0.566	0.008	-0.163	-0.583	-0.307	0.821	0.09	-0.161	-0.631	0.536	-0.055
Q96F81	-0.146	-0.136	0.835	-0.134	0.165	-0.118	0.299	-0.173	0.254	-0.12	0.31	-0.003
P01765	-0.058	-0.265	-0.691	-0.226	-0.07	-0.116	-0.726	-0.273	0.021	-0.253	-0.317	-0.252
O14917	-0.34	-0.189	-0.028	-0.036	-0.271	-0.182	0.048	0.165	-0.275	-0.014	-0.137	0.05
P02689	0.415	0.281	0.249	0.25	1.142	0.248	1.174	0.745	1.33	-0.006	0.906	1.072
A8K5A7	-0.232	0.173	0.326	0.213	0.218	-0.285	0.204	0.656	0.352	-0.745	0.082	0.31
Q99996-6	-0.228	0.195	0.121	-0.098	-0.203	0.062	0.169	0.219	-0.484	0.017	0.181	0.05
Q8IVG5	0.034	-0.038	0.434	0.026	0.196	0.009	1.391	0.031	-0.063	-0.11	1.457	-0.078
P20594	0.104	-0.02	-0.154	0.036	-0.158	-0.304	0.354	-0.083	-0.241	0.346	0.002	0.027
Q9UDT6	-0.49	-0.603	0.117	-0.255	-0.2	-0.36	0.199	-0.504	-0.39	-0.176	0.003	-0.305
O15119	-0.163	0.076	0.019	-0.086	-0.038	-0.003	0.014	-0.109	-0.393	-0.103	-0.177	-0.125
B4DH08	0.142	0.048	-0.052	0.046	0.158	-0.052	-0.128	-0.049	0.101	-0.283	0.067	0.049
B4E0R8	0.254	-0.548	-0.133	-0.009	-0.103	-0.221	-0.082	-0.014	0.352	-0.239	-0.35	-0.349
B2RWQ1	0.054	-0.234	0.016	-0.023	0.194	-0.359	-0.124	-0.079	-0.135	-0.27	0.01	0.094
O60315	0.11	-0.264	0.121	-0.222	-0.171	-0.319	0.149	-0.168	-0.027	-0.012	0.336	-0.138
Q5T5C7	-0.171	-0.078	0.226	0.294	0.143	0.076	0.351	0.301	0.228	-0.073	-0.235	0.647
Q9Y3C6	-0.02	0.105	-0.254	0.234	0.092	0.43	-0.429	0.324	0.23	0.369	-0.125	0.179
O60259-2	0.018	0.336	0.057	-0.358	0.13	0.36	0.055	-0.536	0.049	0.464	0.19	-0.492
Q9HCK8	0.051	-0.289	0.125	0.186	-0.284	-0.291	0.066	0.144	-0.111	-0.206	0.156	0.204
P01772	0.161	-0.316	-0.406	-0.326	-0.182	-0.208	-0.306	-0.026	0.134	-0.191	-0.255	0.106
P01611	0.097	-0.603	-1.741	-0.665	-0.195	-0.653	-1.857	-0.347	-0.163	-0.655	-0.87	-0.212
Q9UGN4	0.012	0.04	0.121	0	0.109	0.091	-0.027	0.16	-0.081	-0.052	0.068	0.099
Q9H1C3	-0.175	-0.21	0.009	-0.476	-0.275	-0.28	0.044	0.326	-0.419	0.089	0.154	0.043
Q8TCZ2	-0.024	-0.191	0.099	-0.11	0.104	-0.01	0.029	-0.07	0.14	0.261	0.364	0.165
Q149N8	0.282	1.222	-0.471	0.001	-0.235	0.233	-0.644	0.111	0.371	1.761	-0.221	0.038
P01701	0.064	-0.227	-0.657	-0.187	-0.161	-0.246	-0.502	-0.408	0.003	-0.15	-0.413	-0.427
Q12830	-0.077	0.032	-0.073	-0.05	-0.126	0.037	-0.085	0.135	-0.073	0.025	0.125	-0.08
Q14839-2	-0.363	-0.101	-0.251	0.087	-0.178	-0.172	-0.129	0.19	-0.349	-0.1	-0.178	0.039
Q4KWH8	0.142	0.025	-0.075	-0.067	0.183	0.071	-0.072	-0.107	0.43	-0.117	-0.225	-0.05
Q96M89	-0.154	-0.001	-0.375	0.102	-0.158	-0.183	-0.495	-0.031	-0.124	-0.005	-0.506	-0.113
Q96IR2	-0.187	-0.197	-0.237	-0.485	-1.757	-0.306	-0.06	-0.821	-0.225	0.004	-1.109	0.191
B4E2H2	0.156	-0.264	0.29	-0.118	-0.551	-0.473	0.29	0.032	-0.892	-0.309	0.247	-0.005
A6XGL8	-0.183	-0.455	0.198	-0.021	-0.248	-0.276	0.723	0.133	-0.23	-0.338	0.414	-0.048
Q86UH7	-0.029	-0.048	0.023	-0.285	-0.188	-0.206	0.15	-0.115	-0.174	0.032	0.056	-0.171
Q9Y2V7	0.85	-0.839	-0.185	-3.487	0.313	-0.609	-1.695	-2.197	0.98	-0.932	-1.738	-1.871
A6NLQ9	-0.53	-0.225	-0.143	-0.045	-0.243	-0.363	0.058	0.092	-0.041	-0.221	-0.259	0.064
